id,parent_id/id,tax_ids/id,code,name,type,user_type/id,reconcile,note
pcg_7133,pcg_713,,7133,Variation des en-cours de production de biens,View,account.data_account_type_view,False,
pcg_71331,pcg_7133,,71331,Produits en cours,Regular,account.data_account_type_income,False,
pcg_71335,pcg_7133,,71335,Travaux en cours,Regular,account.data_account_type_income,False,
pcg_7134,pcg_713,,7134,Variation des en-cours de production de services,View,account.data_account_type_view,False,
pcg_71341,pcg_7134,,71341,Études en cours,Regular,account.data_account_type_income,False,
pcg_71345,pcg_7134,,71345,Prestations de services en cours,Regular,account.data_account_type_income,False,
pcg_7135,pcg_713,,7135,Variation des stocks de produits,View,account.data_account_type_view,False,
pcg_71351,pcg_7135,,71351,Produits intermédiaires ,Regular,account.data_account_type_income,False,
pcg_71355,pcg_7135,,71355,Produits finis,Regular,account.data_account_type_income,False,
pcg_71358,pcg_7135,,71358,Produits résiduels,Regular,account.data_account_type_income,False,
pcg_72,pcg_Classe_7,,72,Production immobilisée,View,account.data_account_type_view,False,
pcg_721,pcg_72,,721,Immobilisations incorporelles ,Regular,account.data_account_type_income,False,
pcg_722,pcg_72,,722,Immobilisations corporelles,Regular,account.data_account_type_income,False,
pcg_74,pcg_Classe_7,,74,Subventions d'exploitation,View,account.data_account_type_view,False,
pcg_75,pcg_Classe_7,,75,Autres produits de gestion courante,View,account.data_account_type_view,False,
pcg_751,pcg_75,,751,"Redevances pour concessions, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires",View,account.data_account_type_view,False,
pcg_7511,pcg_751,,7511,"Redevances pour concessions, brevets, licences, marques, procédés, logiciels ",Regular,account.data_account_type_income,False,
pcg_7516,pcg_751,,7516,Droits d'auteur et de reproduction,Regular,account.data_account_type_income,False,
pcg_7518,pcg_751,,7518,Autres droits et valeurs similaires,Regular,account.data_account_type_income,False,
pcg_752,pcg_75,,752,Revenus des immeubles non affectés aux activités professionnelles,Regular,account.data_account_type_income,False,
pcg_753,pcg_75,,753,"Jetons de présence et rémunérations d'administrateurs, gérants..",Regular,account.data_account_type_income,False,
pcg_754,pcg_75,,754,Ristournes perçues des coopératives (provenant des excédents),Regular,account.data_account_type_income,False,
pcg_755,pcg_75,,755,Quotes-parts de résultats sur opérations faites en commun,View,account.data_account_type_view,False,
pcg_7551,pcg_755,,7551,Quote-part de perte transférée (comptabilité du gérant),Regular,account.data_account_type_income,False,
pcg_7555,pcg_755,,7555,Quote-part de bénéfice attribuée (comptabilité des associés non-gérants),Regular,account.data_account_type_income,False,
pcg_758,pcg_75,,758,Produits divers de gestion courante,Regular,account.data_account_type_income,False,
pcg_76,pcg_Classe_7,,76,Produits financiers,View,account.data_account_type_view,False,Intérêts sur comptes rémunérés (SICAV....)
pcg_761,pcg_76,,761,Produits de participations,View,account.data_account_type_view,False,
pcg_7611,pcg_761,,7611,Revenus des titres de participation,Regular,account.data_account_type_income,False,
pcg_7616,pcg_761,,7616,Revenus sur autres formes de participation ,Regular,account.data_account_type_income,False,
pcg_7617,pcg_761,,7617,Revenus des créances rattachées à des participations,Regular,account.data_account_type_income,False,
pcg_762,pcg_76,,762,Produits des autres immobilisations financières,View,account.data_account_type_view,False,
pcg_7621,pcg_762,,7621,Revenus des titres immobilisés,Regular,account.data_account_type_income,False,
pcg_7626,pcg_762,,7626,Revenus des prêts,Regular,account.data_account_type_income,False,
pcg_7627,pcg_762,,7627,Revenus des créances immobilisées,Regular,account.data_account_type_income,False,
pcg_763,pcg_76,,763,Revenus des autres créances,View,account.data_account_type_view,False,
pcg_7631,pcg_763,,7631,Revenus des créances commerciales ,Regular,account.data_account_type_income,False,
pcg_7638,pcg_763,,7638,Revenus des créances diverses,Regular,account.data_account_type_income,False,
pcg_764,pcg_76,,764,Revenus des valeurs mobilières de placement,Regular,account.data_account_type_income,False,
pcg_765,pcg_76,,765,Escomptes obtenus,Regular,account.data_account_type_income,False,
pcg_766,pcg_76,,766,Gains de change,Regular,account.data_account_type_income,False,
pcg_767,pcg_76,,767,Produits nets sur cessions de valeurs mobilières de placement,Regular,account.data_account_type_income,False,(contrepartie 667)
pcg_768,pcg_76,,768,Autres produits financiers,Regular,account.data_account_type_income,False,
pcg_77,pcg_Classe_7,,77,Produits exceptionnels,View,account.data_account_type_view,False,
pcg_771,pcg_77,,771,Produits exceptionnels sur opérations de gestion,View,account.data_account_type_view,False,Écarts d'arrondis
pcg_7711,pcg_771,,7711,Dédits et pénalités perçus sur achats et sur ventes,Regular,account.data_account_type_income,False,
pcg_7713,pcg_771,,7713,Libéralités reçues,Regular,account.data_account_type_income,False,
pcg_7714,pcg_771,,7714,Rentrées sur créances amorties,Regular,account.data_account_type_income,False,
pcg_7715,pcg_771,,7715,Subventions d'équilibre,Regular,account.data_account_type_income,False,
pcg_7717,pcg_771,,7717,Dégrèvements d'impôts autres qu'impôts sur les bénéfices,Regular,account.data_account_type_income,False,
pcg_7718,pcg_771,,7718,Autres produits exceptionnels sur opérations de gestion,Regular,account.data_account_type_income,False,
pcg_772,pcg_77,,772,Produits sur exercices antérieurs (en cours d'exercice seulement),Regular,account.data_account_type_income,False,
pcg_775,pcg_77,,775,Produits des cessions d'éléments d'actif,View,account.data_account_type_view,False,vente d'immobilisation = prix de vente (contrepartie 675)
pcg_7751,pcg_775,,7751,Immobilisations incorporelles,Regular,account.data_account_type_income,False,
pcg_7752,pcg_775,,7752,Immobilisations corporelles,Regular,account.data_account_type_income,False,
pcg_7756,pcg_775,,7756,Immobilisations financières,Regular,account.data_account_type_income,False,
pcg_7758,pcg_775,,7758,Autres éléments d'actif,Regular,account.data_account_type_income,False,
pcg_777,pcg_77,,777,Quote-part des subventions d'investissement virée au résultat de l'exercice,Regular,account.data_account_type_income,False,
pcg_778,pcg_77,,778,Autres produits exceptionnels,View,account.data_account_type_view,False,
pcg_7781,pcg_778,,7781,Bonis provenant de clauses d'indexation ,Regular,account.data_account_type_income,False,
pcg_7782,pcg_778,,7782,Lots,Regular,account.data_account_type_income,False,
pcg_7783,pcg_778,,7783,Bonis provenant du rachat par l'entreprise d'actions et d'obligations émises par elle-même,Regular,account.data_account_type_income,False,
pcg_7788,pcg_778,,7788,Produits exceptionnels divers,Regular,account.data_account_type_income,False,
pcg_78,pcg_Classe_7,,78,"Reprises sur amortissements, dépréciations et provisions",View,account.data_account_type_view,False,
pcg_781,pcg_78,,781,"Reprises sur amortissements, dépréciations et provisions (à inscrire dans les produits d'exploitation)",View,account.data_account_type_view,False,
pcg_7811,pcg_781,,7811,Reprises sur amortissements des immobilisations incorporelles et corporelles ,View,account.data_account_type_view,False,
pcg_78111,pcg_7811,,78111,Immobilisations incorporelles,Regular,account.data_account_type_income,False,
pcg_78112,pcg_7811,,78112,Immobilisations corporelles,Regular,account.data_account_type_income,False,
pcg_7815,pcg_781,,7815,Reprises sur provisions d'exploitation,Regular,account.data_account_type_income,False,
pcg_7816,pcg_781,,7816,Reprises sur dépréciations des immobilisations corporelles et incorporelles,View,account.data_account_type_view,False,
pcg_78161,pcg_7816,,78161,Immobilisations incorporelles,Regular,account.data_account_type_income,False,
pcg_78162,pcg_7816,,78162,Immobilisations corporelles,Regular,account.data_account_type_income,False,
pcg_7817,pcg_781,,7817,Reprises sur dépréciations des actifs circulants,View,account.data_account_type_view,False,
pcg_78173,pcg_7817,,78173,Stocks et en-cours,Regular,account.data_account_type_income,False,
pcg_78174,pcg_7817,,78174,Créances,Regular,account.data_account_type_income,False,
pcg_786,pcg_78,,786,Reprises sur dépréciations et provisions (à inscrire dans les produits financiers),View,account.data_account_type_view,False,
pcg_7865,pcg_786,,7865,Reprises sur provisions financiers,Regular,account.data_account_type_income,False,
pcg_7866,pcg_786,,7866,Reprises sur dépréciations des éléments financiers,View,account.data_account_type_view,False,
pcg_78662,pcg_7866,,78662,Immobilisations financières,Regular,account.data_account_type_income,False,
pcg_78665,pcg_7866,,78665,Valeurs mobilières de placement,Regular,account.data_account_type_income,False,
pcg_787,pcg_78,,787,Reprises sur dépréciations et provisions (à inscrire dans les produits exceptionnels),View,account.data_account_type_view,False,
pcg_7872,pcg_787,,7872,Reprises sur provisions réglementées (immobilisations),View,account.data_account_type_view,False,
pcg_78725,pcg_7872,,78725,Amortissements dérogatoires,Regular,account.data_account_type_income,False,
pcg_78726,pcg_7872,,78726,Provision spéciale de réévaluation,Regular,account.data_account_type_income,False,
pcg_78727,pcg_7872,,78727,Plus-values réinvesties,Regular,account.data_account_type_income,False,
pcg_7873,pcg_787,,7873,Reprises sur provisions réglementées (stocks) ,Regular,account.data_account_type_income,False,
pcg_7874,pcg_787,,7874,Reprises sur autres provisions réglementées ,Regular,account.data_account_type_income,False,
pcg_7875,pcg_787,,7875,Reprises sur provisions exceptionnelles,Regular,account.data_account_type_income,False,
pcg_7876,pcg_787,,7876,Reprises pour dépréciations exceptionnelles,Regular,account.data_account_type_income,False,
pcg_79,pcg_Classe_7,,79,Transferts de charges,View,account.data_account_type_view,False,
pcg_791,pcg_79,,791,Transferts de charges d'exploitation,Regular,account.data_account_type_income,False,
pcg_796,pcg_79,,796,Transferts de charges financières,Regular,account.data_account_type_income,False,
pcg_797,pcg_79,,797,Transferts de charges exceptionnelles,Regular,account.data_account_type_income,False,
